workload_file,family,hamlib_category,structural_class,matrix_type,num_qubits,matrix_dim_N,num_diagonals_D,nnz,sparsity,diagonal_sparsity,n_taylor_K,hdf5_file,hdf5_key,key_status,key_confidence,final_time,num_timesteps,dt,method,fetch_script,portal_path,hamlib_terms
tfim_14_4.txt,tfim,condensedmatter,diagonal,single-diagonal,14,16384,1,16384,6.104e-05,3.052e-05,4,tfim.hdf5,graph-1D-grid-nonpbc-qubitnodes_Lx-14_h-0,RESOLVED (verified: 13 Pauli terms; D=1 => diagonal-only => transverse field h=0),verified,1.2,1000,0.0012,dia-sparse,fetchham_sparse_dia.py,condensedmatter/tfim,13
tfim_18_4.txt,tfim,condensedmatter,diagonal,single-diagonal,18,262144,1,262144,3.815e-06,1.910e-06,4,tfim.hdf5,graph-1D-grid-nonpbc-qubitnodes_Lx-18_h-0,RESOLVED (D=1 => h=0),verified,1.2,1000,0.0012,dia,fetchham_dia.py,condensedmatter/tfim,17
tfim_20_5.txt,tfim,condensedmatter,diagonal,single-diagonal,20,1048576,1,1048576,9.537e-07,4.800e-07,5,tfim.hdf5,graph-1D-grid-nonpbc-qubitnodes_Lx-20_h-0,RESOLVED (D=1 => h=0),verified,1.2,1000,0.0012,dia,fetchham_dia.py,condensedmatter/tfim,19
tfim_24_5.txt,tfim,condensedmatter,diagonal,single-diagonal,24,16777216,1,16777216,5.960e-08,3.000e-08,5,tfim.hdf5,graph-1D-grid-nonpbc-qubitnodes_Lx-24_h-0,RESOLVED (D=1 => h=0),verified,1.2,1000,0.0012,dia,fetchham_dia.py,condensedmatter/tfim,23
tfim_28_5.txt,tfim,condensedmatter,diagonal,single-diagonal,28,268435456,1,268435456,3.725e-09,0.000e+00,5,tfim.hdf5,graph-1D-grid-nonpbc-qubitnodes_Lx-28_h-0,RESOLVED (D=1 => h=0),verified,1.2,1000,0.0012,dia,fetchham_dia.py,condensedmatter/tfim,27
reg3_14_4.txt,reg3,binaryoptimization,diagonal,single-diagonal,14,16384,1,16384,6.104e-05,3.052e-05,4,ham-graph-regular_reg-3.hdf5,reg-3_n-14_rinst-00,RESOLVED (verified: 22 terms; D=1 Ising ZZ),verified,1.2,1000,0.0012,dia-sparse,fetchham_sparse_dia.py,binaryoptimization/maxcut/random,22
maxcut_14_5.txt,maxcut,binaryoptimization,diagonal,single-diagonal,14,16384,1,16384,6.104e-05,3.052e-05,5,ham-graph-complete_bipart.hdf5,complbipart-n-14_a-7_b-7,RESOLVED (verified: 50 terms; D=1 Ising ZZ),verified,1.2,1000,0.0012,dia-sparse,fetchham_sparse_dia.py,binaryoptimization/maxcut/random,50
tsp_18_4.txt,tsp,discreteoptimization,diagonal,single-diagonal,18,262144,1,262144,3.815e-06,1.910e-06,4,TSP_penalties.hdf5,tsppenalty_Ncity-6_enc-stdbinary,"RESOLVED (verified: 394 terms; D=1). No q14 exists: stdbinary qubits = Ncity*ceil(log2 Ncity) => {8,15,18,24}",verified,1.2,1000,0.0012,dia-sparse,fetchham_sparse_dia.py,discreteoptimization/tsp,394
qmaxcut_14_4.txt,qmaxcut,binaryoptimization,banded,banded,14,16384,27,122880,4.578e-04,8.240e-04,4,graph-star.hdf5,graph-n-14,RESOLVED (verified: 40 terms; banded D=27 Heisenberg XX+YY+ZZ),,1.2,1000,0.0012,dia-sparse,fetchham_sparse_dia.py,binaryoptimization/qmaxcut/random,
fermi_14_4.txt,fermi,condensedmatter,banded,banded,14,16384,25,114688,4.272e-04,7.630e-04,4,FH_D-1.hdf5,fh-graph-1D-grid-nonpbc-qubitnodes_Lx-7_U-2_enc-jw,RESOLVED (verified: 46 terms; q=2*Lx=14; Fermi-Hubbard Jordan-Wigner),verified,1.2,1000,0.0012,dia-sparse,fetchham_sparse_dia.py,condensedmatter/fermihubbard,46
heis_18_5.txt,heis,condensedmatter,banded,banded,18,262144,35,2490368,3.624e-05,6.676e-05,5,heis.hdf5,graph-1D-grid-nonpbc-qubitnodes_Lx-18_h-0,RESOLVED (h-0 verified by D-match: Lx-18_h-0 -> D=35),verified,1.2,1000,0.0012,dia,fetchham_dia.py,condensedmatter/heisenberg,51
heis_20_6.txt,heis,condensedmatter,banded,banded,20,1048576,39,11010048,1.001e-05,1.860e-05,6,heis.hdf5,graph-1D-grid-nonpbc-qubitnodes_Lx-20_h-0,RESOLVED (h-0 verified by D-match: Lx-20_h-0 -> D=39),verified,1.2,1000,0.0012,dia,fetchham_dia.py,condensedmatter/heisenberg,57
heis_24_6.txt,heis,condensedmatter,banded,banded,24,16777216,47,402653184,1.431e-06,1.400e-06,6,heis.hdf5,graph-1D-grid-nonpbc-qubitnodes_Lx-24_h-0,RESOLVED (h-0 by family convention; D=47 consistent with h-0 sequence),verified,1.2,1000,0.0012,dia,fetchham_dia.py,condensedmatter/heisenberg,69
heis_28_6.txt,heis,condensedmatter,banded,banded,28,268435456,55,7516192768,1.043e-07,1.000e-07,6,heis.hdf5,graph-1D-grid-nonpbc-qubitnodes_Lx-28_h-0,RESOLVED (h-0 by family convention; D=55 consistent with h-0 sequence),verified,1.2,1000,0.0012,dia,fetchham_dia.py,condensedmatter/heisenberg,81
chem_14_4.txt,chem,chemistry,fill-in,fill-in,14,16384,1477,398733,1.485e-03,4.508e-02,4,B2.hdf5,ham_BK-14,RESOLVED (verified: 462 terms; fill-in D=1477 molecular B2 Bravyi-Kitaev),,1.2,1000,0.0012,dia-sparse,fetchham_sparse_dia.py,chemistry/electronic/standard,
bh_18_5.txt,bh,condensedmatter,fill-in,fill-in,18,262144,192,5782055,8.414e-05,3.662e-04,5,BH_D-1_d-4.hdf5,bh_graph-1D-grid-nonpbc-qubitnodes_Lx-9_U-2_enc-stdbinary_d-4,RESOLVED (regenerated to verified convention; D=192 fits bh series 143/167/192/214),verified,1.2,1000,0.0012,dia,fetchham_dia.py,condensedmatter/bosehubbard,284
bh_20_5.txt,bh,condensedmatter,fill-in,fill-in,20,1048576,214,25786605,2.345e-05,1.020e-04,5,BH_D-1_d-4.hdf5,bh_graph-1D-grid-nonpbc-qubitnodes_Lx-10_U-2_enc-stdbinary_d-4,RESOLVED (regenerated to verified convention; D=214 fits bh series 143/167/192/214),verified,1.2,1000,0.0012,dia,fetchham_dia.py,condensedmatter/bosehubbard,319
bh_24_5.txt,bh,condensedmatter,fill-in,fill-in,24,16777216,595,771751936,2.742e-06,1.773e-05,5,/mnt/beegfs/ysu34/hamlib/BH/BH.hdf5,bh_graph-1D-grid-nonpbc-qubitnodes_Lx-<L>_U-<U>_enc-<enc>_d-4,NEEDS_CONFIRM: Lx/U/enc not logged,‡,1.2,1000,0.0012,dia,fetchham_dia.py,condensedmatter/bosehubbard,
Li2_14_6.txt,Li2,chemistry,fill-in,fill-in,14,16384,2683,696668,2.595e-03,8.188e-02,6,Li2.hdf5,ham_BK14,RESOLVED (expanded 16x16 coverage; D=2683 nnz=1933312),†,1.2,1000,0.0012,dia-sparse,fetchham_sparse_dia.py,chemistry/electronic/standard,
